Thu Dec  4 22:48:17 2025    results/logs/profile_4581/mpi_monte_carlo.prof

         974786 function calls (956256 primitive calls) in 2.739 seconds

   Ordered by: cumulative time
   List reduced from 3148 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    830/1    0.030    0.000    2.741    2.741 {built-in method builtins.exec}
        1    0.000    0.000    2.741    2.741 src/mpi_monte_carlo.py:1(<module>)
    727/7    0.004    0.000    2.464    0.352 <frozen importlib._bootstrap>:1165(_find_and_load)
    698/7    0.003    0.000    2.464    0.352 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    669/7    0.003    0.000    2.458    0.351 <frozen importlib._bootstrap>:666(_load_unlocked)
  1703/13    0.001    0.000    2.451    0.189 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    544/6    0.001    0.000    2.297    0.383 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    1.865    1.865 /home/user91/montecarlo-hpc/src/option_pricing.py:1(<module>)
        1    0.000    0.000    1.803    1.803 /home/user91/.local/lib/python3.11/site-packages/scipy/stats/__init__.py:1(<module>)
        1    0.000    0.000    1.610    1.610 /home/user91/.local/lib/python3.11/site-packages/scipy/stats/_stats_py.py:1(<module>)
  552/114    0.001    0.000    1.559    0.014 {built-in method builtins.__import__}
  728/341    0.002    0.000    1.478    0.004 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      544    0.004    0.000    0.782    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      691    0.006    0.000    0.768    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
      688    0.001    0.000    0.756    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
      688    0.002    0.000    0.755    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
     1100    0.010    0.000    0.749    0.001 <frozen importlib._bootstrap_external>:1604(find_spec)
      544    0.002    0.000    0.710    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
      544    0.694    0.001    0.694    0.001 {built-in method io.open_code}
     2617    0.656    0.000    0.656    0.000 {built-in method posix.stat}
     2600    0.001    0.000    0.654    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      841    0.001    0.000    0.639    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      899    0.001    0.000    0.639    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.522    0.522 /home/user91/.local/lib/python3.11/site-packages/scipy/optimize/__init__.py:1(<module>)
   121/89    0.000    0.000    0.455    0.005 <frozen importlib._bootstrap_external>:1239(exec_module)
   121/89    0.177    0.001    0.454    0.005 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.421    0.421 /home/user91/.local/lib/python3.11/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.373    0.373 /home/user91/.local/lib/python3.11/site-packages/scipy/spatial/__init__.py:1(<module>)
        1    0.000    0.000    0.361    0.361 /home/user91/.local/lib/python3.11/site-packages/scipy/stats/distributions.py:1(<module>)
7934/6801    0.002    0.000    0.332    0.000 {built-in method builtins.hasattr}


